Segment,Pageviews,50 Percent,75 Percent,100 Percent
/lgbtq/hiv-and-sti-testing-centers,112,56,19,0
/lgbtq/semester-kick-offs,131,56,0,0
/lgbtq/basic-information,75,56,37,0
/lgbtq/what-does-asexual-mean,56,56,56,0
/lgbtq/alumni-and-community,75,56,19,0
/lgbtq/event/2024-lavender-graduation,75,75,0,0
/lgbtq/rebecca-nugent,75,75,0,0
/lgbtq/student-orgs-other-centers,94,56,0,0
/lgbtq/archived-programs,56,56,37,0
/lgbtq/profile/mark-evans,56,56,37,0
/multidisciplinary-studies/lgbtq-studies-0/about,56,56,37,0
/lgbtq/sevim-mccutcheon,37,37,37,37
/lgbtq/what-does-aromantic-mean,37,37,37,37
/lgbtq/middle-high-school-students,75,19,19,19
/lgbtq/external-resources,75,56,0,0
/lgbtq/attraction-sexual-does-not-equal-romantic,37,37,37,19
/lgbtq/facultystaff-resources,37,37,37,19
/lgbtq/profile/heather-cook,37,37,37,19
/lgbtq/get-involved,56,19,19,19
/lgbtq/lgbtq-student-organizations-kent-state,94,19,0,0
/lgbtq/event/eating-disorder-101,37,37,19,19
/lgbtq/event/quest-meeting-4,56,56,0,0
/lgbtq/lgbt-studies-minor,75,37,0,0
/lgbtq/profile/jennifer-mcdonald,56,56,0,0
/lgbtq/students,37,37,19,19
/lgbtq/profile/stacie-humm,37,37,37,0
/lgbtq/creating-inclusive-classroom-gender-diverse-students,37,37,19,0
/lgbtq/listserv-social-media-requests,37,37,19,0
/lgbtq/profile/joshua-talbott,37,37,19,0
/lgbtq/profile/laura-rodriguez,37,37,19,0
/lgbtq/profile/lori-lee,37,37,19,0
/lgbtq/stark-lgbtq-resources-0,37,37,19,0
/srvss/lgbtq-survivors,37,37,19,0
/lgbtq/event/courageously-queer-storytelling-queer-joy,19,19,19,19
/lgbtq/lgbtq-resources-guide,19,19,19,19
/lgbtq/profile/maureen-keating,19,19,19,19
/alumni/lgbtq-alumni-chapter,56,19,0,0
/lgbtq/being-ally,37,19,19,0
/lgbtq/event/drag-bingo-dinner,37,19,19,0
/lgbtq/event/drag-race-5k,56,19,0,0
/lgbtq/event/safe-space-trans-101-training-2,56,19,0,0
/lgbtq/parents-and-families,37,19,19,0
/lgbtq/profile/candace-olszak,37,19,19,0
/lgbtq/profile/heather-ryan,37,19,19,0
/lgbtq/support-groups,56,19,0,0
/lgbtq/what-asexuality-resource-guide,37,19,19,0
/kickoff/event/lgbtq-fall-kick,19,19,19,0
/lgbtq/ashtabula-lgbtq-resources-0,19,19,19,0
/lgbtq/event/homecoming-parade-0,19,19,19,0
/lgbtq/event/rainbow-revival-market-dan-smith-park,19,19,19,0
/lgbtq/flashes-pride,19,19,19,0
/lgbtq/guest-speaker-assi-azar,19,19,19,0
/lgbtq/profile/carmen-daniel,19,19,19,0
/lgbtq/profile/grace-hoffman,19,19,19,0
/lgbtq/profile/julie-cremeans-smith,19,19,19,0
/lgbtq/profile/megan-krippel,19,19,19,0
/lgbtq/profile/pat-sweeney,19,19,19,0
/news/video/lgbtq-student-center-kent-state,19,19,19,0
/publichealth/news/lgbtq-community-needs-assessment-update,19,19,19,0
/tags/lgbtq-student-center,19,19,19,0
/lgbtq/event/2025-lavender-graduation-ceremony,56,0,0,0
/lgbtq/event/drag-brunch-brunch-boots,37,19,0,0
/lgbtq/event/qtpoc-social-group-23,37,19,0,0
/lgbtq/haleigh-ketler,37,19,0,0
/lgbtq/lgbtq-academic-programs,37,19,0,0
/lgbtq/profile/lisa-hart,37,19,0,0
/lgbtq/eunice-reyes-0,19,19,0,0
/lgbtq/event/lgbtq-facultystaff-fall-kick,19,19,0,0
/lgbtq/event/quest-meeting-6,19,19,0,0
/lgbtq/how-update-your-pronouns,19,19,0,0
/lgbtq/profile/kathy-kinzer-downs,19,19,0,0
/lgbtq/profile/marianne-martens,19,19,0,0
/lgbtq/profile/susan-bereck,19,19,0,0
/lgbtq/event/lgbtq-advocacy-workshop-0,37,0,0,0
/cpph/lgbtq-community-needs-assessment,19,0,0,0
/lgbtq/chosen-vs-legal-name-communications,19,0,0,0
/lgbtq/event/acorn-alley-rainbow-market,19,0,0,0
/lgbtq/event/akron-pride-festival,19,0,0,0
/lgbtq/event/coming-out-rtd-1,19,0,0,0
/lgbtq/event/decorate-bridge-downtown-kent-0,19,0,0,0
/lgbtq/event/drag-bingo,19,0,0,0
/lgbtq/event/flashes-pride-unveiling-party-0,19,0,0,0
/lgbtq/event/gender-affirming-clothing-swap,19,0,0,0
/lgbtq/event/pokemon-themed-drag-show,19,0,0,0
/lgbtq/event/pride-trivia-night,19,0,0,0
/lgbtq/event/qommunity-social-group-18,19,0,0,0
/lgbtq/event/qommunity-social-group-19,19,0,0,0
/lgbtq/event/qommunity-social-group-23,19,0,0,0
/lgbtq/event/qommunity-social-group-24,19,0,0,0
/lgbtq/event/qtpoc-social-group-18,19,0,0,0
/lgbtq/event/qtpoc-social-group-19,19,0,0,0
/lgbtq/event/queer-art-show,19,0,0,0
/lgbtq/event/quest-kick-0,19,0,0,0
/lgbtq/event/safe-space-ally-training-2,19,0,0,0
/lgbtq/event/safe-space-ally-training-3,19,0,0,0
/lgbtq/event/safe-space-trans-101-training-1,19,0,0,0
/lgbtq/first-phase-1971-1986,19,0,0,0
/lgbtq/lgbtq-library,19,0,0,0
/lgbtq/profile/kim-myford,19,0,0,0
/lgbtq/profile/kim-rufra,19,0,0,0
/lgbtq/profile/marshall-hill,19,0,0,0
/lgbtq/profile/seth-newell,19,0,0,0
/lgbtq/profile/stephanie-jalwan,19,0,0,0
/lgbtq/selective-service-requirement,19,0,0,0
/multidisciplinary-studies/lgbtq-studies-testimonials,19,0,0,0
/today/news/lgbtq-trailblazers-area-high-schools-visit-campus,19,0,0,0
